,Location,Points,Gold,Preferred Cheese, Group,Sub  Group
Relic Hunter ,Many locations. See Relic Hunter  page for details.,650,935,,Indigenous Mice,
Renegade ,Derr Dunes,550,"7,350",,The Derr Tribe,
Retired Minotaur ,Zokor,"1,000,000","1,000,000",,Citizens of Zokor,Hidden Remnants
Revenant ,Burroughs Rift,"55,000","8,000","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Ribbon ,Great Winter Hunt,"5,000",900,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Ridiculous Sweater ,Great Winter Hunt,"17,500","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Rift Bio Engineer,Burroughs Rift,"27,750","3,300","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Rift Guardian ,"Gnawnia Rift
Furoma Rift (Outside Only)","34,000","4,000","Riftiago
Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Rift Tiger,Whisker Woods Rift,"66,250","9,200","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Rifterranian ,Burroughs Rift,"36,750","4,700",Terre Ricotta,Rift Walkers,Burroughs Rift
Riftweaver ,Gnawnia Rift,"19,750","2,025","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Riptide ,Balack's Cove,"32,000","3,800","Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
Robat ,Burroughs Rift,"32,500","4,200","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Rock Muncher ,Town of Digby,"2,750",875,Limelight,Digby Dirt Dwellers,
Rockstar (formerly: iTunes),Ronza's Traveling Shoppe,"1,000","3,400",Rockforth,Event Mice,Misc
Rogue ,King's Gauntlet,700,295,Gauntlet Cheese Tier 2,Gauntlet Gladiators,Tier 2: Thief Mice
Romeno ,"Valentine's Day
Lunar New Year",0,300,See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Romeo ,"Valentine's Day
Lunar New Year","1,000","1,200",See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
RR-8 ,"Labyrinth
Zokor","32,500","4,988",,Citizens of Zokor,Tech Engineers
Ruffian ,Claw Shot City,"7,500","1,250",,Wild Bunch,Misc
Saboteur ,Iceberg,"6,800",850,,Icewing's Invasion,Bomb Squad
,Slushy Shoreline,,,,,
Sacred Shrine ,King's Gauntlet,"19,500","9,000",Gauntlet Cheese Tier 6,Gauntlet Gladiators,Tier 6: Noble Mice
Saloon Gal ,Claw Shot City,"3,750","1,200",,Wild Bunch,Misc
Salt Water Snapper ,S.S. Huntington III,"1,980","1,200",,Aquatic Order,
Saltwater Axolotl ,Sunken City,"27,500","12,000",,Deep Sea Dwellers,Treasure Troop
Samurai ,Dojo,"5,000",850,,Followers of Furoma,
,Training Grounds,,,,,
Sand,Halloween,"30,000","5,000",See current Halloween location,Event Mice,Halloween
Sand Cavalry ,Fiery Warpath (Wave 2),"24,000","5,200",,The Marching Flame,Cavalry
Sand Colossus ,Sand Crypts,"20,500","1,500",Graveblossom Camembert,Sand Dunes Mice,
Sand Dollar Diver ,Sunken City,"25,000","7,790",,Deep Sea Dwellers,Treasure Troop
Sand Dollar Queen ,Sunken City,"30,000","19,000",,Deep Sea Dwellers,Treasure Troop
Sand Pilgrim,Sand Dunes,"13,250","1,150",Dewthief Camembert,Sand Dunes Mice,
Sandwing Cavalry ,Fiery Warpath (Wave 3),"26,400","6,000",,The Marching Flame,Cavalry
Sanguinarian ,"Labyrinth
Zokor","45,950","5,000",,Citizens of Zokor,Lost Scholars
Sarcopha,Sand Crypts,"17,000","2,550",Graveblossom Camembert,Sand Dunes Mice,
Scarab ,Sand Crypts,"16,500","3,500",Graveblossom Camembert,Sand Dunes Mice,
Scarecrow ,Seasonal Garden,"5,000","1,200",,Seasonal Soldiers,Fall
Scavenger ,"Catacombs
Forbidden Grove","3,375","5,200","Ancient Cheese
Radioactive Blue",The Forgotten Mice,
School of Mish,Sunken City,"19,100","1,900",,Deep Sea Dwellers,Scale Society
Scout ,"Cape Clawed
Elub Shore","1,190",110,,The Elub Tribe,
Scrap Metal Monster ,Toxic Spill,"36,000","4,200",Rancid Radioactive Blue,The Polluted,
Scribe ,Crystal Library,"14,000","9,000",,Zurreal's Breed,
Scrooge ,Great Winter Hunt,470,"2,840",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Scruffy ,"Harbour
King's Arms
Windmill",250,400,,Indigenous Mice,
Seadragon ,Sunken City,"24,300","2,250",,Deep Sea Dwellers,Coral Corral
Seer ,Derr Dunes,"5,000","6,120",,The Derr Tribe,
Sentinel ,Fiery Warpath (Wave 2),"21,300","3,300",,The Marching Flame,Scout
Serpent Monster ,Sunken City,"76,000","6,000",,Deep Sea Dwellers,Predator Pack
Serpentine ,Sand Crypts,"25,250","1,650",Graveblossom Camembert,Sand Dunes Mice,
Shadow Stalker ,"Labyrinth
Zokor","70,000",700,Standard Cheese,Citizens of Zokor,Hallway Wanderers
Shaman ,"Calm Clearing
Great Gnarled Tree
Lagoon",600,"1,300",,Forest Guild,
Shaolin Kung Fu,Furoma Rift,"52,000","4,000",String Cheese,Rift Stalkers,Furoma Rift
Shard Centurion ,Gnawnia Rift,"52,000","4,600",Riftiago,Rift Walkers,Gnawnia Rift
Sharpshooter ,Gnawnian Express Station,"15,000","16,000",,Train Robbers,Raider
Shattered Carmine,Twisted Garden,"225,000","19,500",Lunaria Camembert,Living Garden Mice,
Shattered Obsidian ,Fungal Cavern,"58,000","4,000",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Shelder ,S.S. Huntington III,"2,600",300,"SUPER|brie+
Galleon Gouda",Aquatic Order,
Shinobi,Furoma Rift,"48,000","1,200",String Cheese,Rift Stalkers,Furoma Rift
Shipwrecked ,"Cape Clawed
S.S. Huntington III","2,100",90,,Aquatic Order,
Shopkeeper ,Claw Shot City,"4,500","4,500",,Wild Bunch,Misc
Shortcut ,Halloween,"5,500","3,100",See current Halloween location,Event Mice,Halloween
Shroom ,Living Garden,"12,500","2,650",,Living Garden Mice,
Silth ,Lagoon,"25,450","15,200",Wicked Gnarly,Forest Guild,
Silvertail ,"Harbour
King's Arms
Mountain
Tournament Hall
Town of Gnawnia
Windmill","1,200","1,200",SUPER|brie+,Indigenous Mice,
Sinister Egg Painter,Spring Egg Hunt,"5,000","1,200",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Sir Fleekio ,Zokor,"90,000","27,000",,Citizens of Zokor,Fealty Sworn Soldiers
Siren ,S.S. Huntington III,"5,200",600,,Aquatic Order,
Skeleton ,Catacombs,"2,392",960,Ancient Cheese,,
Radioactive Blue,The Forgotten Mice,,,,,
Slay Ride ,Great Winter Hunt,"30,000","7,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Slayer ,Nerg Plains,"10,455","4,200",Gumbo,The Nerg Tribe,
Sleepwalker ,Hunt Birthday,"1,300",900,See current Hunt Birthday location,Event Mice,Birthday
Slimefist ,Toxic Spill,"110,000","4,900",Rancid Radioactive Blue,The Polluted,
Sludge ,Toxic Spill,"4,500","3,500",Rancid Radioactive Blue,The Polluted,
Sludge Soaker ,Toxic Spill,"35,000","4,500",Rancid Radioactive Blue,The Polluted,
Sludge Swimmer ,Toxic Spill,"120,000","10,000",Rancid Radioactive Blue,The Polluted,
Snake Charmer ,Muridae Market,"4,200",600,,Muridae Market Mice,
Snooty ,All locations except: Meadow,10,10,,Event Mice,Prize
S.N.O.W. Golem ,Great Winter Hunt,"60,000","18,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snow Boulder ,Great Winter Hunt,"7,000",900,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snow Bowler ,"Iceberg
Slushy Shoreline","11,650","3,845",,Icewing's Invasion,Brute
Snow Fort ,Great Winter Hunt,"24,000","2,800",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snow Scavenger,Great Winter Hunt,"4,500","1,200",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snow Slinger ,"Iceberg
Slushy Shoreline","7,825","2,450",,Icewing's Invasion,Bergling
Snow Sniper ,Slushy Shoreline,"9,255",550,,Icewing's Invasion,Bergling
Snow Soldier ,"Iceberg
Slushy Shoreline","6,430","2,230",,Icewing's Invasion,Bergling
Snow Sorceress,Great Winter Hunt,"5,000",400,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snowball Hoarder ,Great Winter Hunt,"9,500",500,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snowblind ,Iceberg,"8,835",850,,Icewing's Invasion,Bergling
Snowblower ,Great Winter Hunt,"6,775",200,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snowflake ,Great Winter Hunt,"5,000","3,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Snowglobe ,Great Winter Hunt,"12,600","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Sock Puppet Ghost ,King's Gauntlet,225,210,,Gauntlet Gladiators,Tier 1: Puppet Mice
Solemn Soldier ,"Labyrinth
Zokor","40,000","7,700",,Citizens of Zokor,Fealty Sworn Soldiers
Soothsayer ,Elub Shore,"9,075","3,600",,The Elub Tribe,
Sorcerer ,"Acolyte Realm
Forbidden Grove","6,200",350,"Ancient Cheese
Radioactive Blue",The Forgotten Mice,
Soul Binder ,Zokor,"350,000","100,000",,Citizens of Zokor,Lost Scholars
Spear Fisher ,Sunken City,"39,000","4,200",,Deep Sea Dwellers,Predator Pack
Spectral Butler ,Halloween,"20,000","4,800",See current Halloween location,Event Mice,Halloween
Spectre ,"Acolyte Realm
Forbidden Grove","5,600","5,600","Ancient Cheese
Runic",The Forgotten Mice,
Speedy ,"King's Arms
Tournament Hall
Town of Gnawnia
Windmill",950,900,SUPER|brie+,Indigenous Mice,
Spellbinder ,Derr Dunes,"3,200","5,400",,The Derr Tribe,
Spice Merchant ,Muridae Market,"11,000","2,400",,Muridae Market Mice,
Spider ,Catacombs,"5,200","3,375",Ancient Cheese,The Forgotten Mice,
,Forbidden Grove,,,Radioactive Blue,,
Spiked Burrower ,Fungal Cavern,"23,000",700,,Fungal Fiends,Fungal Fodder
Spiky Devil ,Sand Dunes,"14,500","2,600",Dewthief Camembert,Sand Dunes Mice,
Spirit Fox ,Whisker Woods Rift,"65,250","9,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Spirit Light ,Halloween,"1,200",500,See current Halloween location,Event Mice,Halloween
Spirit of Balance,Whisker Woods Rift,"56,650","5,300","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Spiritual Steel ,Gnawnia Rift,"50,000","4,500",Riftiago,Rift Walkers,Gnawnia Rift
Splintered Stone Sentry ,Fungal Cavern,"57,000","3,200",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Spore ,Toxic Spill,"12,000","1,500",Rancid Radioactive Blue,The Polluted,
Spore Muncher ,Fungal Cavern,"18,000",575,,Fungal Fiends,Fungal Fodder
Sporeticus ,Fungal Cavern,"12,000",500,,Fungal Fiends,Fungal Fodder
Sporty Ski Instructor ,Great Winter Hunt,"12,600","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Spotted ,"Meadow
Harbour
King's Arms",175,175,,Indigenous Mice,
Spring Familiar ,Seasonal Garden,9072,760,SUPER|brie+,Seasonal Soldiers,Spring
Spud ,Windmill,300,500,,Indigenous Mice,
Squeaken ,S.S. Huntington III,"5,528","3,456",,Aquatic Order,
Squeaker Claws,Great Winter Hunt,"21,340","4,745",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Stagecoach Driver ,Claw Shot City,"11,000","8,000",,Wild Bunch,Ringleaders
Stalagmite ,Fungal Cavern,"62,500","3,000",Mineral Cheese,Fungal Fiends,Mineral Munchers
Stealth ,King's Gauntlet,500,295,Gauntlet Cheese Tier 2,Gauntlet Gladiators,Tier 2: Thief Mice
Steam Grip ,Crystal Library,"8,000","7,000",,Zurreal's Breed,
Steel ,"Bazaar
Harbour
Laboratory
Meadow
Mountain
Town of Digby
Town of Gnawnia",270,500,,Indigenous Mice,
Steel Horse Rider ,Gnawnian Express Station,"9,000","12,000",,Train Robbers,Raider
Stickybomber ,Iceberg,"6,850",725,,Icewing's Invasion,Bomb Squad
Stinger ,Seasonal Garden,"13,800","4,620",,Seasonal Soldiers,Summer
Stingray ,Sunken City,"31,700","1,990",,Deep Sea Dwellers,Finned Friends
Stocking ,Great Winter Hunt,"21,340","4,745",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Stone Cutter ,Town of Digby,"4,360","1,800",Limelight,Digby Dirt Dwellers,
Stone Maiden ,Fungal Cavern,"45,000","5,000",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
Stonework Warrior ,Jungle of Dread,"24,670","4,510",Magical Havarti,The Dreaded Horde,
Stoutgear ,Gnawnian Express Station,"7,000","8,500",,Train Robbers,Automice
Stowaway ,Gnawnian Express Station,"4,000","2,000",SUPER|brie+,Train Robbers,Passenger
Strawberry Hotcakes ,Living Garden,"14,500","1,950",,Living Garden Mice,
Stuck Snowball ,Great Winter Hunt,"2,000",650,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
,,Increases by 500 with each catch,Increases by 350 with each catch,,,
Student of the Cheese Belt ,Dojo,"6,250",450,"Maki
SUPER|brie+",Followers of Furoma,
Student of the Cheese Claw ,Dojo,"6,250",450,"Maki
SUPER|brie+",Followers of Furoma,
Student of the Cheese Fang ,Dojo,"6,250",450,"Maki
SUPER|brie+",Followers of Furoma,
Student of the Chi Belt,Furoma Rift (Inside Only),"90,000","9,000",String Cheese,Rift Stalkers,Furoma Rift
Student of the Chi Claw,Furoma Rift (Inside Only),"90,000","9,000",String Cheese,Rift Stalkers,Furoma Rift
Student of the Chi Fang,Furoma Rift (Inside Only),"90,000","9,000",String Cheese,Rift Stalkers,Furoma Rift
Stuffy Banker ,Claw Shot City,"8,000","11,500",,Wild Bunch,Crew
,Gnawnian Express Station,,,,,
Subterranean ,Town of Digby,"11,000","5,800",Limelight,Digby Dirt Dwellers,
Sugar Rush ,Halloween,"2,600","2,000",See current Halloween location,Event Mice,Halloween
Summer Mage ,Seasonal Garden,"16,560","7,520",,Seasonal Soldiers,Summer
Summoning Scholar ,Labyrinth,"32,500","4,988",,Citizens of Zokor,Lost Scholars
,Zokor,,,,,
Sunken Banshee ,Sunken City,"36,500","2,825",,Deep Sea Dwellers,Barnacled Bunch
Sunken Citizen ,Sunken City,"17,800",342,,Deep Sea Dwellers,Sunken City Citizens
Super FighterBot MegaSupreme,Hunt Birthday,"2,250",225,See current Hunt Birthday location,Event Mice,Birthday
Super Mega Mecha Ultra RoboGold ,Burroughs Rift,"52,500","4,200",Polluted Parmesan,Rift Walkers,Burroughs Rift
Supernatural ,Gnawnia Rift,"25,000","2,900","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Supply Hoarder ,Gnawnian Express Station,"8,000","12,000",,Train Robbers,Depot Worker
Supreme Sensei,Furoma Rift (Inside Only),"325,000","60,000",Null Onyx Gorgonzola,Rift Stalkers,Furoma Rift
Surgeon Bot ,Burroughs Rift,"32,500","2,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Swabbie ,S.S. Huntington III,70,50,,Aquatic Order,
Swamp Runner ,Toxic Spill,"3,250",500,Rancid Radioactive Blue,The Polluted,
Swamp Thang ,Halloween,"32,500","2,750",See current Halloween location,Event Mice,Halloween
Swarm of Pygmy Mice,Jungle of Dread,"5,800",840,"Gouda
SUPER|brie+
Vanilla Stilton",The Dreaded Horde,
Swashblade ,Sunken City,"35,355","2,800",,Deep Sea Dwellers,Barnacled Bunch
Sylvan ,"Calm Clearing
Cape Clawed
Derr Dune
Great Gnarled Tree
Jungle of Dread",275,425,,Forest Guild,
Tadpole ,Sunken City,"26,000","2,500",,Deep Sea Dwellers,Scale Society
Taleweaver ,"Cape Clawed
Elub Shore","1,090",99,,The Elub Tribe,
Tanglefoot ,Seasonal Garden,"7,875","3,280",,Seasonal Soldiers,Spring
Tech Golem ,"Labyrinth
Zokor","40,000","7,700",,Citizens of Zokor,Tech Engineers
Tech Ravenous Zombie,Burroughs Rift,"37,500","4,800","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Technic Bishop ,Zugzwang's Tower,"33,265","1,100",,Wizard's Pieces,Technic
Technic King ,Zugzwang's Tower,"80,730","10,470",,Wizard's Pieces,Technic
Technic Knight ,Zugzwang's Tower,"15,590","1,980",,Wizard's Pieces,Technic
Technic Pawn ,Zugzwang's Tower,"7,200","1,090",,Wizard's Pieces,Technic
Technic Queen ,Zugzwang's Tower,"66,240","17,080",,Wizard's Pieces,Technic
Technic Rook ,Zugzwang's Tower,"59,400","2,785",,Wizard's Pieces,Technic
Teenage Vampire ,Halloween,"1,000",900,See current Halloween location,Event Mice,Halloween
Telekinetic Mutant ,Toxic Spill,"79,000","2,000",Rancid Radioactive Blue,The Polluted,
Tentacle ,Toxic Spill,"79,000","6,000",Rancid Radioactive Blue,The Polluted,
Terra ,King's Gauntlet,"4,200","1,000",Gauntlet Cheese Tier 5,Gauntlet Gladiators,Tier 5: Magic Mice
Terrible Twos ,Hunt Birthday,800,"1,100",See current Hunt Birthday location,Event Mice,Birthday
Terror Knight ,Catacombs,"8,400",200,"Ancient Cheese
Radioactive Blue",The Forgotten Mice,
The Menace ,Toxic Spill,"125,000","10,500",Rancid Radioactive Blue,The Polluted,
The Menace of the Rift ,Burroughs Rift,"350,000","150,000",Polluted Parmesan,Rift Walkers,Burroughs Rift
Theurgy Warden ,Fiery Warpath (Wave 4),"81,000","3,000",,The Marching Flame,Misc
Thirsty ,Living Garden,"1,000","1,000",,Living Garden Mice,
Thistle ,Living Garden,"9,050","1,150",,Living Garden Mice,
Thorn ,Twisted Garden,"12,500","1,850",Duskshade Camembert,Living Garden Mice,
Tidal Fisher ,Balack's Cove,"9,800","3,800",Vanilla Stilton,Balack's Banished,
Tiger ,"Great Gnarled Tree
Lagoon","5,500",935,"Gnarled
SUPER|brie+
Wicked Gnarly",Forest Guild,
Tiny ,"King's Arms
Meadow
Windmill",200,450,SUPER|brie+,Indigenous Mice,
Titanic Brain-Taker ,Halloween,"32,500","2,750",See current Halloween location,Event Mice,Halloween
Toboggan Technician ,Great Winter Hunt,"3,165",700,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Tome Sprite ,Crystal Library,"14,000","1,800",SUPER|brie+,Zurreal's Breed,
Tonic Salesman ,"Claw Shot City
Gnawnian Express Station","3,000","8,750",,Wild Bunch,Crew
Totally Not Bitter ,"Valentine's Day
Lunar New Year","1,850",450,See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Toxic Avenger ,Burroughs Rift,"48,000","1,850",Polluted Parmesan,Rift Walkers,Burroughs Rift
Toxic Warrior ,Toxic Spill,"90,000","7,000",Rancid Radioactive Blue,The Polluted,
Toxikinetic ,Burroughs Rift,"47,500",900,Polluted Parmesan,Rift Walkers,Burroughs Rift
Toy ,Great Winter Hunt,"3,165",700,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Toy Sylvan ,King's Gauntlet,115,100,,Gauntlet Gladiators,Tier 1: Puppet Mice
Toy Tinkerer ,Great Winter Hunt,"5,000",900,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Trailblazer ,"Cape Clawed
Derr Dunes",790,880,,The Derr Tribe,
Train Conductor ,Gnawnian Express Station,"6,000","3,500",,Train Robbers,Passenger
Train Engineer ,Gnawnian Express Station,"8,000","4,500",,Train Robbers,Fueler
Trampoline ,Great Gnawnian Games,"3,000","3,000",See current Great Gnawnian Games location,Event Mice,Great Gnawnian Games
Travelling Barber ,Gnawnian Express Station,"5,500","3,000",,Train Robbers,Passenger
Treant ,"Calm Clearing
Great Gnarled Tree
Lagoon","1,300",600,,Forest Guild,
Treant Queen ,Whisker Woods Rift,"57,750","5,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Treasure Brawler ,"Labyrinth
Zokor","72,000","37,250",,Citizens of Zokor,Treasure Misers
Treasure Hoarder ,Sunken City,"40,200","20,000",,Deep Sea Dwellers,Treasure Troop
Treasure Keeper ,Sunken City,"41,000","23,000",,Deep Sea Dwellers,Treasure Troop
Treasurer ,All locations except: Meadow,10,10,,Event Mice,Prize
Treat ,Halloween,"8,100","8,400",See current Halloween location,Event Mice,Halloween
Tree Troll ,Whisker Woods Rift,"65,750","9,225","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Trick ,Halloween,"8,400","8,100",See current Halloween location,Event Mice,Halloween
Tricky Witch ,Halloween,"4,250","1,000",See current Halloween location,Event Mice,Halloween
Tri-dra ,Whisker Woods Rift,"175,000","28,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Triple Lutz ,Great Winter Hunt,600,750,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Tritus ,Sunken City,"300,000","96,100",,Deep Sea Dwellers,Predator Pack
Troll ,Lagoon,"8,190","8,190","Gnarled
Wicked Gnarly",Forest Guild,
Tumbleweed ,Claw Shot City,"3,250",900,,Wild Bunch,Misc
Tundra Huntress,Great Winter Hunt,"32,000","5,780",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Turret Guard ,Sunken City,"36,500","2,825",,Deep Sea Dwellers,Coral Corral
Twisted Carmine,Twisted Garden,"85,250","6,525",Lunaria Camembert,Living Garden Mice,
Twisted Fiend ,Balack's Cove,"10,500","1,100","Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
Twisted Hotcakes ,Twisted Garden,"15,400","3,250",Duskshade Camembert,Living Garden Mice,
Twisted Lilly ,Twisted Garden,"9,500","1,650",Duskshade Camembert,Living Garden Mice,
Twisted Treant ,Whisker Woods Rift,"41,750","4,300","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Undertaker ,Claw Shot City,"12,000","9,000",,Wild Bunch,Ringleaders
Upper Class Lady ,"Claw Shot City
Gnawnian Express Station","4,500","8,000",,Wild Bunch,Crew
Urchin King ,Sunken City,"37,000","2,850",,Deep Sea Dwellers,Scale Society
Vampire ,"Catacombs
Forbidden Grove
Mousoleum","2,700",900,"Ancient Cheese
Radioactive Blue",The Shadow Clan,
Vanguard ,Fiery Warpath (Wave 1),"14,000","2,600",,The Marching Flame,Scout
Vanquisher ,Elub Shore,"9,980","2,560",,The Elub Tribe,
Vinetail ,Seasonal Garden,"13,172","6,580",,Seasonal Soldiers,Spring
Walker ,Crystal Library,"17,000","3,000",,Zurreal's Breed,
Wandering Monk,Furoma Rift,"68,000","4,200",String Cheese,Rift Stalkers,Furoma Rift
Warehouse Manager ,Gnawnian Express Station,"7,500","14,000",,Train Robbers,Depot Worker
Warmonger ,Fiery Warpath (Wave 4),"198,000","27,000",,The Marching Flame,Misc
Water Nymph ,"Lagoon
S.S. Huntington III","4,725",790,"Gnarled
Wicked Gnarly",Aquatic Order,
Water Sprite ,Whisker Woods Rift,"46,500","7,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Water Wielder ,Iceberg,"13,250","4,920",,Icewing's Invasion,Zealot
Wave Racer ,Great Gnawnian Games,"5,000","5,000",See current Great Gnawnian Games location,Event Mice,Great Gnawnian Games
Wealth ,Gnawnia Rift,"35,000","12,000",String Cheese,Rift Walkers,Gnawnia Rift
,Furoma Rift,,,,,
Whelpling ,Dracano,"1,310","12,280",Inferno Havarti,Draconic Brood,
Whirleygig ,Seasonal Garden,"4,000",875,,Seasonal Soldiers,Fall
White ,"Harbour
King's Arms
Meadow
Mountain
Town of Gnawnia
Training Grounds
Windmill",70,100,,Indigenous Mice,
White Mage ,King's Gauntlet,"20,400","9,000",Gauntlet Cheese Tier 6,Gauntlet Gladiators,Tier 6: Noble Mice
Wicked Witch of Whisker Woods ,"Great Gnarled Tree
Lagoon",400,"2,700",,Forest Guild,
Wiggler ,"Calm Clearing
Great Gnarled Tree",100,150,,Forest Guild,
Wight ,Acolyte Realm,"8,750",900,Runic,The Forgotten Mice,
Wild Chainsaw ,Halloween,"2,200","1,150",See current Halloween location,Event Mice,Halloween
Winged Harpy ,Whisker Woods Rift,"72,000","11,350","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Winter Games ,Great Gnawnian Games,"3,000",900,See current Great Gnawnian Games location,Event Mice,Great Gnawnian Games
Winter Mage ,Seasonal Garden,"18,065","9,400",,Seasonal Soldiers,Winter
Wolfskie ,Iceberg,"8,250","1,100",,Icewing's Invasion,Bergling
Wordsmith ,"Cape Clawed
Derr Dunes",720,800,,The Derr Tribe,
Worker ,"Dojo
Training Grounds",300,"2,200","Maki
SUPER|brie+",Followers of Furoma,
Wound Up White ,King's Gauntlet,70,100,,Gauntlet Gladiators,Tier 1:Puppet Mice
Wreath Thief ,Great Winter Hunt,"19,000","3,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Yeti ,"Iceberg
Slushy Shoreline","9,850","1,245",,Icewing's Invasion,Brute
Young Prodigy Racer ,Great Winter Hunt,"5,000",900,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Zephyr ,King's Gauntlet,"5,900","1,000",Gauntlet Cheese Tier 5,Gauntlet Gladiators,Tier 5: Magic Mice
Zombie ,"Bazaar
Catacombs
Forbidden Grove
Laboratory
Mountain
Mousoleum
Town of Digby
Town of Gnawnia","2,700","2,700",,Indigenous Mice,
Zombot Unipire ,"Catacombs
Mousoleum","1,750",750,Undead Emmental,Event Mice,Halloween
Zombot Unipire the Third,Burroughs Rift,"45,000","4,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Zurreal the Eternal,Crystal Library,"79,000","36,000",,Zurreal's Breed,
